ID,artist,song,album,released,genre,home_country,singer_age_at_release,entity,topic,Google_Entities_Tentative,overall_sentiment
1,Aerosmith,Janie's Got A Gun,Pump,1989,"Hard rock, Rock",United States,41,"[""Janie's Got a Gun"", 'Honey', 'Janie']","['Songs written', 'Aerosmith songs', 'Song recordings produced', 'Glam metal songs', 'Hard rock ballads', 'Geffen Records singles', 'American blues rock songs', 'American hard rock songs', 'Hard rock songs', 'Songs about child abuse']","Janie,honey,Dum,sound,dog day,gun,run,honey,Dum,gun,pain,gun,Honey,sleaze,Yeah,gun,gun,gun,gun,daddy,world,everybody,run,man,gun,everybody,run,lookin,train,sun,man,dog day,gun,gun,pain,daddy,daddy,everybody,Cause Janie,someone,man,gun,gun,thunder,baby,lightnin,brain,bullet,everybody,gun Everybody,gun,gun,gun,problem,spell,daddy,I.O.U.,cradle robbin,nobody",-0.7
2,Aerosmith,Magic Touch,Permanent Vacation,1987,"Hard rock, Rock",United States,39,"['Shotgun', 'babe']","['Albums', 'Recorded music', 'Music media', 'Television episodes', 'American television episodes', 'Sound recording', 'Music industry', 'Television series', 'Shotgun', 'Rock albums']","fire burnin,Cause,doctor,doctor,rocker,rocker,shove,love,Somebody,fool child,shotgun,message,magic touch,way,babe,habit,child,babe,magic touch,shotgun,surprise,fire,wedding,burnin,habit,magic touch,fire,babe,Gonna,magic touch",-0.6
3,Aerosmith,Taste Of India,Nine Lives,1997,Hard rock,United States,49,"['Incense', 'Sweetness of wine', 'Wine', 'Funk', 'Vindaloo', 'Yin and yang', 'Perfume', 'Appetite', 'Concubinage', 'India']","['Wine', 'Recorded music', 'Grape', 'Fermented drinks', 'Alcoholic drinks', 'Alcohol', 'Albums', 'Music', 'Crops originating from Europe', 'Music media']","kind,taste,Gotta,tongue,tip,beat,India,Taste Of India,God,taste,taste,tongue,tip,face,taste,taste,cat man,friend,love incense,back room,funk,perfume,darkness,tongue,tip,stuff,smile,cat man,love,shadow,light,thing,vindaloo,heart,fire,priestess,bliss,delight,love,Yin and Yang,shadow,taste,mine,cat man,smile,face,taste,appetite,smile,friend,appetite,mine,Yow,concubine,wine",0.6
4,Aerosmith,Dream On,Aerosmith,1973,"Classic rock, Rock",United States,25,"['Dawn', 'Sin', 'Laughter', 'Dream']","['Dawn', 'Entertainment', 'Fiction', 'Literature', 'Novels', 'Sin', 'Laughter', 'Culture', 'Creative works', 'Religious behaviour and experience']","Lord,Everybody,face,past,mirror,dusk,way,lines,sin,Sing,Lord,life,everybody,Sing,laughter,tear,things,Lord,books,laughter,tear,Sing,life,dues,pages,sages,fools,tear,laughter,dreams,dreams,Sing,Dream on Dream on Dream on Dream,Dream on Dream on Dream on Dream on Dream on Dream on Dream on Sing,laughter,tear",0
5,Aerosmith,Eyesight To The Blind,Honkin' on Bobo,2004,"Hard rock, Rock",United States,56,"['God', 'Lordy', 'Lord']","['Shacharit for Shabbat and Yom Tov', 'Shabbat prayers', 'Torah reading', 'Months of the Hebrew calendar', 'Shabbat', 'Torah books', 'Weekly Torah readings', 'Jewish services', 'Jewish prayer and ritual texts', 'Jewish life cycle']","girl,woman,millionaire,baby,Lordy,god,god,Lord,Man,blind,eyesight,millionaire,way,way,state,cause,bed,head,back room,cause,blind,eyesight,eyes,Man,blind,eyesight,woman",0.2
6,Aerosmith,Falling Off,Nine Lives,1997,Hard rock,United States,49,"['I saidI', 'Labellum (botany)', 'I didn', '10', 't callI']","['Literature', 'Fiction', 'Culture', 'Novels', 'Entertainment', 'Creative works', 'Drama', 'Works', 'American television episodes', 'Television series']","way,man,hands,pockets,offI,promise,things,time,Intentions,mind,heart,thinkI,number,wall,best,eyes,ears,stoneI,Beginning,callI,excuse,back,saidI,offMy,I fallI,tallI,thinkIs",-0.6
7,Aerosmith,Jaded,Just Push Play,2001,Hard rock,United States,53,"['Velvet', 'Love']","['Recorded music', 'Albums', 'Music', 'Music media', 'Music industry', 'English-language music', 'Rock music', 'Sound recording', 'Pop music', 'Rock albums']","child,one,misery,thinking,baby,Cause,mama,everything,style,baby,baby,But,baby,baby,Yeah,baby,baby,ride,velvet glove,side,Yeah,baby,ecstasy,baby,breeze,Love",-0.3
8,Aerosmith,Kings And Queens,Draw the Line,1977,Classic rock,United States,29,"['Vikings', 'Ship', 'Truth', 'Guillotine', 'Parchment', 'Greed', 'Déjà vu', 'Starch', 'Sailing ship', 'Long', 'Spit (landform)', 'Kings', 'Lordy']","['Viking Age', 'Medieval Denmark', 'Early Middle Ages', 'Vikings', 'Artificial objects', 'Truth', 'Ship', 'Fiction', 'Ships', 'Viking Age people']","greed Maidens,lords,bishops,gold,wombs,knights,Were,Starch,lives,all,queens,guillotines,parchment,laws,swords,ride,turnin,Truths,nightmares,Dreams,life,Screams,Sailing ships,father,blood,land,Kings,Tossin,Viking,reply,Screams,reply,Deja vu,Died Lordy,maidens,swords,loss,pride,death,mares,times,Sneer",-0.7
9,Aerosmith,Lightning Strikes,Rock in a Hard Place,1982,Hard rock,United States,34,"['Knife', 'Dagger', ""Hell's Kitchen, Manhattan"", 'Thunder', 'Eye for an eye', 'Lightning', 'Hell', 'Ready to Rumble', 'Improvised firearm', 'Location identifier']","['Blade weapons', 'Melee weapons', 'Knives', 'Hand tools', 'Weapons', 'Cutting tools', 'Personal weapons', 'Knife', 'Thunder', 'Cutting']","lid,Boys,cops,street,rival,word,avenue,streets gang clash,heads,lightning,eye,Gonna,lightning strikes,Blades,finger,hell's kitchen,gun,lightning strikes,funeral rights,street,thunder,all,ones,chains,parking lot,tooth,tooth,blood,Gotta,heat,street,combat zone,means,dog eat dog,Johnny,Zip,thunder,cops,ones,chains,funeral rights,blood,heat,lightning strikes,licks,Lightning,lightning strikes,lightning strikes,lightning strikes,lightning strikes,parking lot,all,dagger knife,suicide blitz,thunder",0
10,Bruno Mars,Don't Give Up,Sesame Street,2011,Pop,United States,26,"['Roller skates', 'Bruno Mars']","['Roller skates', 'Recorded music', 'Albums', 'Bruno Mars', 'Music media', 'Music industry', 'Television series', 'Entertainment', 'Sound recording', 'Sports']","something,advice,luck,Keep,rollerskates,Try,ball,ball,ball,Try,air,rowing,boat,hands,end,toes,chin,belly,nose,head,top,floor,Try,grooving,no,no,no,trip,tip",-0.7
11,Bruno Mars,It Will Rain,The Twighlight Saga: Breaking Dawn,2011,Pop,United States,26,"['Morphine', 'Makin (islands)', 'Sunlight', 'Walkin', 'Sayin']","['Television episodes', 'American television episodes', 'Television series', 'Fiction', 'Entertainment', 'Creative works', 'Speculative fiction', 'Morphine', 'Novels', 'Literature']","baby,lot,morphine,religion,door,medication,same,Ooh,baby,door,mind,sunlight,skies,side,floor,matter,sacrifices,knees,Ooh,clouds,eyes,same,pieces,minds,shoes,guy,girl,thing,mother,daddy,something,darlin,baby,pieces,skies,sunlight,same,Cause,clouds,eyes,Walkin,baby,skies,sunlight,eyes,clouds",-0.2
12,Bruno Mars,Liquor Store Blues,Doo-Wops & Hooligans,2010,"Reggae, Pop",United States,25,"['Superman', 'Distilled beverage', 'Lottery', 'Blues', 'Beer', 'Liquor store', 'Whisky', 'Guitar', 'Gong', 'Pineapple', '68', 'Tryna']","['Recorded music', 'Distilled beverage', 'American musicians', 'Entertainment', 'Music', 'Music media', 'Albums', 'Performing arts', 'Popular music', 'Superman']","pain,sorrow,world,greetings,job,place,place,shot,liquor store,beer,top,pores,way,Lotto tickets,Tryna,shot,Whiskey,block,nowhere,liquor store blues,shot,sorrow,drag,drag,drag,thing,block,nowhere,liquor store blues,city lights,guitar,rent,cops,pineapple kush,thing,Tryna,shot,jaws,greetings,world,shot,Superman,Cause,Junior Gong",0.1
13,Bruno Mars,When I Was Your Man,Unorthodox Jukebox,2012,Pop,United States,27,"['When I Was Your Man', 'Pride']","['When I Was Your Man', 'Entertainment', 'Pride', 'Recorded music', 'Fiction', 'Creative works', 'Music', 'Works', 'Novels', 'Drama']","first,bed,man,pride,ooh ooh hoo hoo Mm,hand,friends,cause,cause,baby,same,chance,bit,heart,radio,song,flowers,name,hand,dancing,man,chance,party,ooh,flowers,ways,mess,life,woman,needs,ego,eyes,flowers,dancing,man,party,baby,mistakes,things,things,chance,party",-0.1
14,Bruno Mars,Gorilla,Unorthodox Jukebox,2012,Pop,United States,27,"['Cocaine', 'Gorilla', 'Devil', 'SWAT', 'Door', 'Distilled beverage', 'Bang', '30']","['Gorilla', 'Television episodes', 'American television episodes', 'Entertainment', 'Cocaine', 'Television series', 'Creative works', 'Fiction', 'Recorded music', 'Novels']","love,liquor,cocaine Kicker,sky,devil,eyes,legs,bottle,baby,neighbors,daddy,love,baby,baby,gorilla,gorillas,gorillas,jungle,lover,killer,Bang bang,chest,hair,cops,sheriff,swat,door,body,fistful,baby,baby,gorillas,killer,Bang bang,baby,gorillas,baby,gorillas,gorillas,baby,chest,jungle,gorilla Ooh,gorillas,baby",0.6
15,Bruno Mars,Show Me,Unorthodox Jukebox,2012,Pop,United States,27,"['Land of Toys', 'Darling', 'Girl']","['Television episodes', 'American television episodes', 'Recorded music', 'Entertainment', 'Land of Toys', 'Music media', 'Music', 'Pop music', 'Fiction', 'Television series']","Right,eyes,body,need,woman,lips,way,eyes,way,mind,way,Baby,need,boom boom boom,pleasure island,waste,boom boom boom,bus,Girl,girl,room room room,zoom zoom Baby,zoom zoom Baby,Darling,room room room",0
16,Bruno Mars,Young Girls,Unorthodox Jukebox,2012,Pop,United States,27,['2017-11-26T00:00:00.000-05:00'],"['Entertainment', 'Albums', 'Recorded music', 'Television series', 'Literature', 'Fiction', 'Music', 'Rock music', 'Music media', 'Television episodes']","girls,death,death,girls,Guess,birds,sun,roads,car,money,name,hunnies,girls,Boy meets girl,girls,girls,girls,death,matter,matter,mess,everything,roads,wife,love,lies,words,lights,mess,Start,matter,matter,mess,wild,matter,matter",-0.2
17,Coldplay,Fix You,X&Y,2005,"Alternative rock, Post-Britpop",England,28,['Fix You'],"['Fix You', 'Television series', 'American television episodes', 'Entertainment', 'Television episodes', 'Fiction', 'Literature', 'Novels', 'Creative works', 'Television franchises']","best,face,tears,something,reverse,someone,waste,Tears,Lights,bones,Lights,love,Tears,mistakes,bones,Tears,something,Tears,bones,I Lights",-0.4
18,Coldplay,I Ran Away,Coldplay,2002,Rock,England,25,['2017-11-26T00:00:00.000-05:00'],"['Astronomy', 'Mythology', 'Literature', 'Culture', 'Entertainment', 'Physical sciences', 'Outer space', 'Traditional stories', 'Fiction', 'Shacharit for Shabbat and Yom Tov']","fool mess,thing,sky A star,Everyone,Everyone,love,call,sun,stomach,Everyone,eyes,Everyone,thing,star,love,call,cage,cage,line",-0.8
19,Coldplay,Miracles,Kaleidoscope,2017,Alternative/Indie,England,40,"['Song structure', 'Refrain', 'Lightning', 'Conclusion (music)', '1', '2']","['Song structure', 'Songs', 'Musical compositions', 'Music', 'Musical form', 'Vocal music', 'Performing arts', 'Song forms', 'Musical forms', 'Elements of music']","eyes,Oh,words,angels,blossom,beauty,eyes,eyes,Eyes,storm,lightning,blossom,puddles,dirt,stars,world,miracles,world,eyes,storm,lightning,Believe",0.3
20,Coldplay,Moses,Live 2003,2003,Rock,England,26,"['Rain', 'Moses']","['Television episodes', 'American television episodes', 'Albums', 'Recorded music', 'Television series', 'Rain', 'Music media', 'Sound recording', 'Entertainment', 'Music industry']","refuge,thing,baby,power,baby,sea,sky,power,Moses,air,air,somewhere,opportunity,difference,matter,II,sky,Oh",0
21,Coldplay,Swallowed In The Sea,X&Y,2005,Rock,England,28,"['You Belong with Me', '100']","['You Belong with Me', 'Recorded music', 'Music', 'Entertainment', 'Music media', 'Albums', 'Pop music', 'Songs', 'Television episodes', 'American television episodes']","one,sea,tree,shelf,eyes,song,sea,book,sea,darling,size,line,world,good,nothing,streets,Forget,streets,houses,song,houses",-0.4
22,Coldplay,Viva La Vida,Viva la Vida or Death and All His Friends,2008,Rock,England,31,"['Saint Peter', 'Choir', 'Shield', 'Jerusalem', 'Salt', 'Sword', 'Mirror', 'Missionary', 'The Sound of Drums', 'Door', 'Bells Are Ringing (musical)', 'Refrain']","['Choir', 'Shield', 'Vocal music', 'Entertainment', 'Performing arts', 'Jerusalem', 'Saint Peter', 'Sword', 'Mirror', 'Missionary']","king,world,word,streets,word,mirror,missionaries,bells,Seas,eyes,enemy,crowd,dice,fear,Oh,world,pillars,choirs,pillars,sword,field,reason,Jerusalem,windows,wind,sand,key,castles,salt,walls,doors,sound,drums,reason,field,sword,choirs,Chorus,world,Roman Cavalry,People,name,king,Roman,Calvary,string,puppet,silver plate,head,Revolutionaries,Saint Peter,Oh",-0.2
23,Coldplay,White Shadows,X&Y,2005,Rock,England,28,"['Outer space', 'Tide', 'Whoa', '2017-11-26T00:00:00.000-05:00']","['Outer space', 'Albums', 'Recorded music', 'Television episodes', 'Entertainment', 'American television episodes', 'Rock albums', 'Tide', 'Sound recording', 'Music media']","boy,Part,Everything,system,shadows,human race,em,something,part,Part,space,sound,system plan,noise,state,state,Things,shadows sparkle,state,All,Part,outer space,space,Everything,system plan,noise,state,stars,state,state Swimming,sea,faces,tide,answer,sun,horizon,love",0.1
24,Coldplay,Yellow,Parachutes,2000,Britpop,England,23,,"['Medicine', 'Health sciences', 'Medical specialties', 'Entertainment', 'Cultural anthropology', 'Literature', 'Mouth', 'Clinical medicine', 'Dentistry', 'Dentistry procedures']","thing,everything,stars,song,Look,things,turn,thing,skin,skin,thing,skin,skin,something,bones,line,line,things,stars,bones,something",0.7
