,ID,artist,song,link,text,album,released,genre,home_country,singer_age_at_release,entity,topic
0,1,Aerosmith,Janie's Got A Gun,/a/aerosmith/janies+got+a+gun_20004444.html,"Dum, dum, dum, honey what have you done  
Dum, dum, dum, it's the sound of my gun  
Dum, dum, dum, honey what have you done  
Dum, dum, dum, it's the sound, it's the sound...  
Nah, nah, nah...nah, nah, nah...  
Nah, nah, nah...nah, nah, nah...  
  
Janie's got a gun  
Janie's got a gun  
Her whole world's come undone  
From lookin' straight at the sun  
  
What did her daddy do  
What did he put you through  
They say when Janie was arrested  
They found him underneath a train  
But man, he had it comin'  
Now that Janie's got a gun  
She ain't never gonna be the same  
  
Janie's got a gun  
Janie's got a gun  
Her dog day's just begun  
Now everybody is on the run  
  
Tell me now it's untrue  
What did her daddy do  
He jacked the little bitty baby  
The man has got to be insane  
They say the spell that he was under  
The lightnin' and the thunder  
Knew that someone had to stop the pain  
  
Run away, run away from the pain  
Yeah, yeah, yeah, yeah, yeah  
Run away, run away from the pain  
Yeah, yeah, yeah, yeah, yeah  
Run away, run away, run, run away  
  
Janie's got a gun  
Janie's got a gun  
Her dog day's just begun  
Now everybody is on the run  
  
What did her daddy do  
It's Janie's last I.O.U.  
She had to take him down easy  
And put a bullet in his brain  
She said 'cause nobody believes me  
The man was such a sleaze  
He ain't never gonna be the same  
  
Run away, run away from the pain  
Yeah, yeah, yeah, yeah, yeah  
Run away, run away, run, run away  
Yeah, yeah, yeah, yeah, yeah, yeah, yeah  
Run away, run away, run, run away  
  
Janie's got a gun  
Janie's got a gun  
Janie's got a gun  
Everybody is on the run  
Janie's got a gun  
Her dog day's just begun  
  
Now everybody is on the run (Honey, honey what's your problem)  
'Cause Janie's got a gun (Tell me it ain't right)  
Janie's got a gun (Was it daddy's cradle robbin')  
Her dog day's just begun (That made you scream at night)  
Now everybody's on the run  
Janie's got a gun  
  
Janie's got a gun  
Her dog day's just begun
",Pump,1989,"Hard rock, Rock",United States,41,"[""Janie's Got a Gun"", 'Honey', 'Janie']","['Songs written', 'Aerosmith songs', 'Song recordings produced', 'Glam metal songs', 'Hard rock ballads', 'Geffen Records singles', 'American blues rock songs', 'American hard rock songs', 'Hard rock songs', 'Songs about child abuse']"
1,2,Aerosmith,Magic Touch,/a/aerosmith/magic+touch_20004437.html,"Somebody better call a doctor, doctor  
Or wake me up with a shove  
I'm gonna knock you off your rocker, rocker  
'Cause I think I'm in love  
I tried to get a message to ya  
But you walked the other way  
I need your magic touch, don't you know  
I've got a habit and I can't let go  
Feel the fire burnin' slow  
You better get it while it's hot now babe  
'Cause I can't let go  
Don't need no wedding with a shotgun, shotgun  
So don't you push me too far  
Don't try to take me for a fool child, who child  
Do you think that you are  
You really got it coming to ya  
It's gonna come as no surprise  
I need your magic touch, don't you know  
I'm after you and now I can't let go  
Take it easy, take it slow  
You better get it while it's hot now babe  
'Cause I can't let go  
You never know what you got  
Till they take it away  
I'm comin' ready or not  
Gonna get you some day  
I need your magic touch, don't you know  
I'm after you and now I can't let go  
